Name,NumberValue,BooleanValue,TextValue,NumberArray,StringArray,AltStringArray
String,int,boolean,string,int,String,String
FEEDBACK_EMAIL,,,clashofclans.feedback@supercell.net,,,
FEEDBACK_EMAIL_ANDROID,,,clashofclans.android@supercell.net,,,
GAME_FACEBOOK_URL,,,http://www.facebook.com/447775968580065,,,
GAME_WEIBO_URL,,,http://e.weibo.com/coc365,,,
GAME_APPBANK_URL,,,http://game.appbank.net/clash-of-clans/,,,
GAME_EXTERNAL_URL,,,http://app.famitsu.com/?p=185000,,,
GAME_TWITTER_URL,,,https://twitter.com/ClashOfClans/,,,
GAME_TWITTER_URL_JP,,,https://twitter.com/ClashofClansJP,,,
TOS_URL,,,http://www.supercell.net/terms-of-service,,,
PRIVACY_POLICY_URL_JP,,,http://supercell.co.jp/privacy-policy.html,,,
TOS_URL_JP,,,http://supercell.co.jp/terms-of-service.html,,,
PRIVACY_POLICY_URL_KR,,,http://clashofclans.co.kr/legal.php#3,,,
TOS_URL_KR,,,http://clashofclans.co.kr/legal.php#2,,,
HELP_CENTER_LANGUAGES,,,,,EN,https://supercell.helpshift.com/a/clash-of-clans/
,,,,,DE,https://supercell.helpshift.com/a/clash-of-clans/?l=de
,,,,,IT,https://supercell.helpshift.com/a/clash-of-clans/?l=it
,,,,,FR,https://supercell.helpshift.com/a/clash-of-clans/?l=fr
,,,,,ES,https://supercell.helpshift.com/a/clash-of-clans/?l=es
,,,,,PT,https://supercell.helpshift.com/a/clash-of-clans/?l=pt
,,,,,NL,https://supercell.helpshift.com/a/clash-of-clans/?l=nl
,,,,,CN,https://supercell.helpshift.com/a/clash-of-clans/?l=zh
,,,,,JP,https://supercell.helpshift.com/a/clash-of-clans/?l=ja
,,,,,KR,https://supercell.helpshift.com/a/clash-of-clans/?l=ko
,,,,,TR,https://supercell.helpshift.com/a/clash-of-clans/?l=tr
,,,,,NO,https://supercell.helpshift.com/a/clash-of-clans/
,,,,,RU,https://supercell.helpshift.com/a/clash-of-clans/?l=ru
FAQ_URL,,,http://webcontent.supercell.net/coc_faq,,,
FORUMS_URL,,,http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans,,,
PRIVACY_POLICY_URL,,,http://www.supercell.net/privacy-policy,,,
FEEDBACK_CATEGORIES,,,,,Purchasing Issue,
,,,,,Connection Issue,
,,,,,Report Problem,
,,,,,Feedback,
,,,,,Lost Village,
,,,,,Account Locked,
FEEDBACK_CATEGORY_BANNED,,,Banned,,,
APP_RATE_XP_LEVEL,11,,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL,48,,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM,120,,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE,336,,,,,
GAMECENTER_REAUTHORIZE,,FALSE,,,,
BILLING_PACK_NAMES_FROM_CSV,,TRUE,,,,
LOW_MEM_DEVICES,,,,,iPod1,
,,,,,iPod2,
,,,,,iPod3,
,,,,,iPod4,
,,,,,iPad1,
,,,,,iPhone2,
,,,,,st25i,
MEDIUM_GFX_DEVICES,,,,,"iPad2,5",
,,,,,"iPad2,6",
,,,,,"iPad2,7",
LOW_GFX_DEVICES,,,,,iPod1,
,,,,,iPod2,
,,,,,iPod3,
,,,,,iPod4,
,,,,,iPad1,
,,,,,iPhone1,
,,,,,iPhone2,
,,,,,iPhone3,
DROID_SANS_FALLBACK_ON_LOW_MEM_DEVICES,,TRUE,,,,
GOOGLE_SERVICE_ACHIEVEMENTS_BUTTON,,TRUE,,,,
ASH_CNT,250,,,,,
ASH_CNT_LOW,120,,,,,
ASH_CNT_COMBAT,40,,,,,
ASH_CNT_COMBAT_LOW,0,,,,,
SNOWFLAKE_CNT,0,,,,,
SNOWFLAKE_CNT_LOW,0,,,,,
SNOWFLAKE_CNT_COMBAT,0,,,,,
SNOWFLAKE_CNT_COMBAT_LOW,0,,,,,
PARTNER_AFTER_LOGIN,,TRUE,,,,
LOAD_DROID_SANS_FALLBACK_MANUALLY,,TRUE,,,,
LOAD_DROID_SANS_FALLBACK_MANUALLY_ANDROID,,FALSE,,,,
ANDROID_LOW_GFX_DEVICES,,,,,GT-N7000,
,,,,,GT-i8190N,
,,,,,U8950,
,,,,,SM-T211,
ANDROID_HIGH_MEMORY_LIMIT,820,,,,,
ANDROID_MEDIUM_MEMORY_LIMIT,512,,,,,
SEND_EVENTS_TO_FB,,TRUE,,,,
SEND_EVENTS_TO_TAPJOY,,FALSE,,,,
SEND_EVENTS_TO_ADCOLONY,,FALSE,,,,
SEND_EVENTS_TO_INMOBI,,FALSE,,,,
SEND_EVENTS_TO_MOBILE_APP_TRACKER,,FALSE,,,,
LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_PER_FRAME,120,,,,,
LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_TOTAL,14400,,,,,
WAR_COOLDOWN_MAX_DISPLAY_TIME,86400,,,,,
INITIAL_ZOOM_TABLET,90,,,,,
INITIAL_ZOOM_PHONE_WIDESCREEN,100,,,,,
INITIAL_ZOOM_PHONE,100,,,,,
MAX_WAR_TROOP_MESSAGE_LENGTH,40,,,,,
DISCONNECT_IF_NETWORK_UNREACHABLE,,FALSE,,,,
NETWORK_UNREACHABLE_TIMEOUT,30,,,,,
CLOSE_EXIT_CONFIRMATION_ON_BACK_KEY,,TRUE,,,,
LOADING_ANIM_DISPLAY_DELAY,1000,,,,,
SHOW_GEM_BALANCE_IN_JP,,TRUE,,,,
LIVE_REPLAY_SPEEDUP_TO_CATCHUP_TO_LIVE_FEED,,FALSE,,,,
POWER_SAVE_MODE_LESS_ENDTURN_MESSAGES,,TRUE,,,,
WALL_ANIMATE_CYCLE,45,,,,,
WALL_ANIMATE_CYCLE_LOW_END,90,,,,,
USE_CLOUDS_FOR_WAR_TRANSITION,,FALSE,,,,
WAR_MAP_SHOW_STARS_IN_REAL_TIME,,TRUE,,,,
ENABLE_KR_CALL_CENTER,,FALSE,,,,
ENABLE_ALLIANCE_WARS,,FALSE,,,,
ENABLE_OLD_WARS,,FALSE,,,,
ENABLE_WAR_HISTORY_MENU,,FALSE,,,,
ENABLE_WAR_STREAM,,FALSE,,,,
GOOGLE_SERVICE_ACHIEVEMENTS,,TRUE,,,,
GOOGLE_SERVICE_REAUTHORIZE,,,,,,
GOOGLE_SERVICE_POPUP_AFTER_FIRST_PURCHASE,,FALSE,,,,
GOOGLE_SERVICE_POPUP_AFTER_TOWN_HALL_LEVEL,99,,,,,
GOOGLE_SERVICE_POPUP_SHOW_AFTER_EACH_TOWNHALL,,FALSE,,,,
ENABLE_CHAT_IN_VISIT,,TRUE,,,,
ENABLE_CHAT_IN_CLOUDS,,TRUE,,,,
ENABLE_CHAT_IN_REPLAY,,TRUE,,,,
CLOUD_CHAT_TIME_LIMIT_SECONDS,4,,,,,
CLOUD_CHAT_TROPHY_LIMIT,3600,,,,,
USE_LOWRES_INGAME_ASSETS_IN_MEDIUM,,TRUE,,,,
CLOSE_TROOP_TRAINING_IN_TUTORIAL,,FALSE,,,,
RECOVER_EDIT_MODE_SESSION,,TRUE,,,,
IN_APP_RETRY_LIMIT,4,,,,,
SHOW_BUBBLE_ICON_ON_BROKEN_TRAPS,,TRUE,,,,
DISCONNECT_IN_APPS,,FALSE,,,,
RETRY_PURCHASES_IN_SHOP,,FALSE,,,,
RECONNECT_AFTER_SLEEPING_SECONDS,180,,,,,
SHOW_GEMS_PURCHASE_BUTTON_DURING_TUTORIAL,,FALSE,,,,
VILLAGE_EDIT_MODE_MINIMUM_TH_LEVEL,2,,,,,
CONTENT_UPDATE_HASH_CHECK,,TRUE,,,,
